"Tabela 185 - Domicílios particulares permanentes por situação e número de moradores"
"Variável - Domicílios particulares permanentes - percentual do total geral"
"Cód.";"Brasil e Município";"Número de moradores";"Ano x Situação do domicílio"
"Cód.";"Brasil e Município";"Número de moradores";"2010"
"Cód.";"Brasil e Município";"Número de moradores";"Urbana"
"1504505";"Melgaço (PA)";"Total";"26,03"
"1504604";"Mocajuba (PA)";"Total";"70,10"
"1504703";"Moju (PA)";"Total";"37,60"
"1504802";"Monte Alegre (PA)";"Total";"45,89"
"1504901";"Muaná (PA)";"Total";"44,52"
"1504950";"Nova Esperança do Piriá (PA)";"Total";"42,43"
"1504976";"Nova Ipixuna (PA)";"Total";"53,73"
"1505007";"Nova Timboteua (PA)";"Total";"41,76"
"1505031";"Novo Progresso (PA)";"Total";"70,56"
"1505064";"Novo Repartimento (PA)";"Total";"45,79"
"1505106";"Óbidos (PA)";"Total";"53,59"
"1505205";"Oeiras do Pará (PA)";"Total";"42,97"
"1505304";"Oriximiná (PA)";"Total";"64,35"
"1505403";"Ourém (PA)";"Total";"46,40"
"1505437";"Ourilândia do Norte (PA)";"Total";"76,35"
"1505486";"Pacajá (PA)";"Total";"35,52"
"1505494";"Palestina do Pará (PA)";"Total";"61,58"
"1505502";"Paragominas (PA)";"Total";"79,47"
"1505536";"Parauapebas (PA)";"Total";"91,03"
"1505551";"Pau D'Arco (PA)";"Total";"60,63"
"1505601";"Peixe-Boi (PA)";"Total";"54,73"
"1505635";"Piçarra (PA)";"Total";"28,98"
"1505650";"Placas (PA)";"Total";"22,52"
"1505700";"Ponta de Pedras (PA)";"Total";"51,84"
"1505809";"Portel (PA)";"Total";"51,68"
"1505908";"Porto de Moz (PA)";"Total";"47,21"
"1506005";"Prainha (PA)";"Total";"31,80"
"1506104";"Primavera (PA)";"Total";"62,56"
"1506112";"Quatipuru (PA)";"Total";"44,35"
"1506138";"Redenção (PA)";"Total";"92,46"
"1506161";"Rio Maria (PA)";"Total";"74,98"
"1506187";"Rondon do Pará (PA)";"Total";"74,77"
"1506195";"Rurópolis (PA)";"Total";"42,94"
"1506203";"Salinópolis (PA)";"Total";"89,60"
"1506302";"Salvaterra (PA)";"Total";"64,79"
"1506351";"Santa Bárbara do Pará (PA)";"Total";"31,14"
"1506401";"Santa Cruz do Arari (PA)";"Total";"48,70"
"1506500";"Santa Izabel do Pará (PA)";"Total";"76,32"
"1506559";"Santa Luzia do Pará (PA)";"Total";"45,36"
"1506583";"Santa Maria das Barreiras (PA)";"Total";"34,45"
"1506609";"Santa Maria do Pará (PA)";"Total";"58,78"
"1506708";"Santana do Araguaia (PA)";"Total";"52,02"
"1506807";"Santarém (PA)";"Total";"75,13"
"1506906";"Santarém Novo (PA)";"Total";"30,90"
"1507003";"Santo Antônio do Tauá (PA)";"Total";"57,86"
"1507102";"São Caetano de Odivelas (PA)";"Total";"42,11"
"1507151";"São Domingos do Araguaia (PA)";"Total";"66,67"
"1507201";"São Domingos do Capim (PA)";"Total";"22,38"
"1507300";"São Félix do Xingu (PA)";"Total";"50,70"
"1507409";"São Francisco do Pará (PA)";"Total";"35,98"
"1507458";"São Geraldo do Araguaia (PA)";"Total";"54,75"
"1507466";"São João da Ponta (PA)";"Total";"19,78"
"1507474";"São João de Pirabas (PA)";"Total";"49,65"
"1507508";"São João do Araguaia (PA)";"Total";"19,32"
"1507607";"São Miguel do Guamá (PA)";"Total";"64,61"
"1507706";"São Sebastião da Boa Vista (PA)";"Total";"44,45"
"1507755";"Sapucaia (PA)";"Total";"66,43"
"1507805";"Senador José Porfírio (PA)";"Total";"45,58"
"1507904";"Soure (PA)";"Total";"90,50"
"1507953";"Tailândia (PA)";"Total";"73,70"
"1507961";"Terra Alta (PA)";"Total";"42,20"
"1507979";"Terra Santa (PA)";"Total";"59,36"
"1508001";"Tomé-Açu (PA)";"Total";"56,82"
"1508035";"Tracuateua (PA)";"Total";"29,00"
"1508050";"Trairão (PA)";"Total";"35,61"
"1508084";"Tucumã (PA)";"Total";"78,84"
"1508100";"Tucuruí (PA)";"Total";"95,62"
"1508126";"Ulianópolis (PA)";"Total";"67,58"
"1508159";"Uruará (PA)";"Total";"57,36"
"1508209";"Vigia (PA)";"Total";"66,30"
"1508308";"Viseu (PA)";"Total";"32,91"
"1508357";"Vitória do Xingu (PA)";"Total";"41,36"
"1508407";"Xinguara (PA)";"Total";"77,52"
"1600055";"Serra do Navio (AP)";"Total";"60,99"
"1600105";"Amapá (AP)";"Total";"85,64"
"1600154";"Pedra Branca do Amapari (AP)";"Total";"55,88"
"1600204";"Calçoene (AP)";"Total";"78,09"
"1600212";"Cutias (AP)";"Total";"54,36"
"1600238";"Ferreira Gomes (AP)";"Total";"71,20"
"1600253";"Itaubal (AP)";"Total";"41,98"
"1600279";"Laranjal do Jari (AP)";"Total";"94,89"
"1600303";"Macapá (AP)";"Total";"96,28"
"1600402";"Mazagão (AP)";"Total";"49,99"
"1600501";"Oiapoque (AP)";"Total";"73,70"
"1600535";"Porto Grande (AP)";"Total";"63,13"
"1600550";"Pracuúba (AP)";"Total";"49,56"
"1600600";"Santana (AP)";"Total";"97,71"
"1600709";"Tartarugalzinho (AP)";"Total";"49,40"
"1600808";"Vitória do Jari (AP)";"Total";"85,44"
"1700251";"Abreulândia (TO)";"Total";"58,55"
"1700301";"Aguiarnópolis (TO)";"Total";"80,71"
"1700350";"Aliança do Tocantins (TO)";"Total";"83,00"
"1700400";"Almas (TO)";"Total";"76,91"
"1700707";"Alvorada (TO)";"Total";"92,03"
"1701002";"Ananás (TO)";"Total";"82,84"
"1701051";"Angico (TO)";"Total";"59,98"
"1701101";"Aparecida do Rio Negro (TO)";"Total";"77,92"
"1701309";"Aragominas (TO)";"Total";"38,14"
"1701903";"Araguacema (TO)";"Total";"47,76"
"1702000";"Araguaçu (TO)";"Total";"67,18"
"1702109";"Araguaína (TO)";"Total";"94,93"
"1702158";"Araguanã (TO)";"Total";"66,98"
"1702208";"Araguatins (TO)";"Total";"65,29"
"1702307";"Arapoema (TO)";"Total";"79,92"
"1702406";"Arraias (TO)";"Total";"67,62"
"1702554";"Augustinópolis (TO)";"Total";"83,60"
"1702703";"Aurora do Tocantins (TO)";"Total";"70,68"
"1702901";"Axixá do Tocantins (TO)";"Total";"83,44"
"1703008";"Babaçulândia (TO)";"Total";"48,57"
"1703057";"Bandeirantes do Tocantins (TO)";"Total";"53,01"
"1703073";"Barra do Ouro (TO)";"Total";"53,55"
"1703107";"Barrolândia (TO)";"Total";"83,46"
"1703206";"Bernardo Sayão (TO)";"Total";"50,45"
"1703305";"Bom Jesus do Tocantins (TO)";"Total";"71,90"
"1703602";"Brasilândia do Tocantins (TO)";"Total";"68,20"
"1703701";"Brejinho de Nazaré (TO)";"Total";"80,83"
"1703800";"Buriti do Tocantins (TO)";"Total";"77,48"
"1703826";"Cachoeirinha (TO)";"Total";"80,54"
"1703842";"Campos Lindos (TO)";"Total";"59,94"
"1703867";"Cariri do Tocantins (TO)";"Total";"63,31"
"1703883";"Carmolândia (TO)";"Total";"79,52"
"1703891";"Carrasco Bonito (TO)";"Total";"52,24"
"1703909";"Caseara (TO)";"Total";"58,46"
"1704105";"Centenário (TO)";"Total";"60,54"
"1704600";"Chapada de Areia (TO)";"Total";"53,74"
"1705102";"Chapada da Natividade (TO)";"Total";"47,36"
"1705508";"Colinas do Tocantins (TO)";"Total";"95,82"
"1705557";"Combinado (TO)";"Total";"85,87"
"1705607";"Conceição do Tocantins (TO)";"Total";"70,03"
"1706001";"Couto Magalhães (TO)";"Total";"39,90"
"1706100";"Cristalândia (TO)";"Total";"81,77"
"1706258";"Crixás do Tocantins (TO)";"Total";"54,08"
"1706506";"Darcinópolis (TO)";"Total";"64,24"
"1707009";"Dianópolis (TO)";"Total";"85,99"
"1707108";"Divinópolis do Tocantins (TO)";"Total";"68,98"
"1707207";"Dois Irmãos do Tocantins (TO)";"Total";"38,81"
"1707306";"Dueré (TO)";"Total";"63,00"
"1707405";"Esperantina (TO)";"Total";"50,84"
"1707553";"Fátima (TO)";"Total";"83,30"
"1707652";"Figueirópolis (TO)";"Total";"74,86"
"1707702";"Filadélfia (TO)";"Total";"63,94"
"1708205";"Formoso do Araguaia (TO)";"Total";"73,12"
"1708254";"Fortaleza do Tabocão (TO)";"Total";"81,98"
"1708304";"Goianorte (TO)";"Total";"57,27"
"1709005";"Goiatins (TO)";"Total";"42,74"
"1709302";"Guaraí (TO)";"Total";"90,74"
"1709500";"Gurupi (TO)";"Total";"97,43"
"1709807";"Ipueiras (TO)";"Total";"57,72"
"1710508";"Itacajá (TO)";"Total";"65,37"
"1710706";"Itaguatins (TO)";"Total";"59,01"
"1710904";"Itapiratins (TO)";"Total";"55,82"
"1711100";"Itaporã do Tocantins (TO)";"Total";"64,08"
"1711506";"Jaú do Tocantins (TO)";"Total";"36,90"
"1711803";"Juarina (TO)";"Total";"48,82"
"1711902";"Lagoa da Confusão (TO)";"Total";"67,80"
"1711951";"Lagoa do Tocantins (TO)";"Total";"72,86"
"1712009";"Lajeado (TO)";"Total";"76,78"
"1712157";"Lavandeira (TO)";"Total";"59,59"
"1712405";"Lizarda (TO)";"Total";"66,47"
"1712454";"Luzinópolis (TO)";"Total";"64,37"
"1712504";"Marianópolis do Tocantins (TO)";"Total";"53,32"
"1712702";"Mateiros (TO)";"Total";"62,95"
"1712801";"Maurilândia do Tocantins (TO)";"Total";"65,88"
"1713205";"Miracema do Tocantins (TO)";"Total";"86,58"
"1713304";"Miranorte (TO)";"Total";"86,99"
"1713601";"Monte do Carmo (TO)";"Total";"43,02"
"1713700";"Monte Santo do Tocantins (TO)";"Total";"23,32"
"1713809";"Palmeiras do Tocantins (TO)";"Total";"56,86"
"1713957";"Muricilândia (TO)";"Total";"60,23"
"1714203";"Natividade (TO)";"Total";"77,77"
"1714302";"Nazaré (TO)";"Total";"44,56"
"1714880";"Nova Olinda (TO)";"Total";"69,55"
"1715002";"Nova Rosalândia (TO)";"Total";"65,41"
"1715101";"Novo Acordo (TO)";"Total";"81,60"
"1715150";"Novo Alegre (TO)";"Total";"74,75"
"1715259";"Novo Jardim (TO)";"Total";"72,17"
"1715507";"Oliveira de Fátima (TO)";"Total";"75,86"
"1715705";"Palmeirante (TO)";"Total";"35,99"
"1715754";"Palmeirópolis (TO)";"Total";"81,03"
"1716109";"Paraíso do Tocantins (TO)";"Total";"95,13"
"1716208";"Paranã (TO)";"Total";"43,74"
"1716307";"Pau D'Arco (TO)";"Total";"62,61"
"1716505";"Pedro Afonso (TO)";"Total";"86,58"
"1716604";"Peixe (TO)";"Total";"50,62"
"1716653";"Pequizeiro (TO)";"Total";"48,94"
"1716703";"Colméia (TO)";"Total";"73,70"
"1717008";"Pindorama do Tocantins (TO)";"Total";"66,42"
"1717206";"Piraquê (TO)";"Total";"35,81"
"1717503";"Pium (TO)";"Total";"58,68"
"1717800";"Ponte Alta do Bom Jesus (TO)";"Total";"53,95"
"1717909";"Ponte Alta do Tocantins (TO)";"Total";"61,19"
"1718006";"Porto Alegre do Tocantins (TO)";"Total";"71,23"
"1718204";"Porto Nacional (TO)";"Total";"85,59"
"1718303";"Praia Norte (TO)";"Total";"60,05"
"1718402";"Presidente Kennedy (TO)";"Total";"87,36"
"1718451";"Pugmil (TO)";"Total";"83,73"
"1718501";"Recursolândia (TO)";"Total";"55,15"
"1718550";"Riachinho (TO)";"Total";"42,70"
"1718659";"Rio da Conceição (TO)";"Total";"93,38"
"1718709";"Rio dos Bois (TO)";"Total";"39,01"
"1718758";"Rio Sono (TO)";"Total";"39,40"
"1718808";"Sampaio (TO)";"Total";"90,87"
"1718840";"Sandolândia (TO)";"Total";"53,43"
"1718865";"Santa Fé do Araguaia (TO)";"Total";"67,51"
"1718881";"Santa Maria do Tocantins (TO)";"Total";"60,54"
"1718899";"Santa Rita do Tocantins (TO)";"Total";"39,94"
"1718907";"Santa Rosa do Tocantins (TO)";"Total";"62,81"
"1719004";"Santa Tereza do Tocantins (TO)";"Total";"65,36"
