Dt-value,Dt-alias,AGG(state_title)-alias,AGG(avg_ponderada_br)-value,AGG(avg_ponderada_br)-alias
2020-04-23,23/04/2020,Amapá,0.4572369624885636,0.4572369624885636
2020-04-24,24/04/2020,Amapá,0.4430824398990084,0.4430824398990084
2020-04-25,25/04/2020,Amapá,0.477390301090476,0.477390301090476
2020-04-26,26/04/2020,Amapá,0.5714730250106966,0.5714730250106966
2020-04-27,27/04/2020,Amapá,0.4618276993401408,0.4618276993401408
2020-04-28,28/04/2020,Amapá,0.4659639225001856,0.4659639225001856
2020-04-29,29/04/2020,Amapá,0.4774943185983432,0.4774943185983432
2020-04-30,30/04/2020,Amapá,0.4484901025863315,0.4484901025863315
2020-05-01,01/05/2020,Amapá,0.5415101156069364,0.5415101156069364
2020-05-02,02/05/2020,Amapá,0.4831102376802996,0.4831102376802996
2020-05-03,03/05/2020,Amapá,0.5454093723721428,0.5454093723721428
2020-05-04,04/05/2020,Amapá,0.4787084870848708,0.4787084870848708
2020-05-05,05/05/2020,Amapá,0.4726903927715288,0.4726903927715288
2020-05-06,06/05/2020,Amapá,0.481279028224366,0.481279028224366
2020-05-07,07/05/2020,Amapá,0.4880294659300184,0.4880294659300184
2020-05-08,08/05/2020,Amapá,0.47989558029078,0.47989558029078
2020-05-09,09/05/2020,Amapá,0.5074892750672582,0.5074892750672582
2020-05-10,10/05/2020,Amapá,0.5385156655062588,0.5385156655062588
2020-05-11,11/05/2020,Amapá,0.5045464544987902,0.5045464544987902
2020-05-12,12/05/2020,Amapá,0.5070752129876778,0.5070752129876778
2020-05-13,13/05/2020,Amapá,0.5090495245787292,0.5090495245787292
2020-05-14,14/05/2020,Amapá,0.50096507520303,0.50096507520303
2020-05-15,15/05/2020,Amapá,0.5216445427728614,0.5216445427728614
2020-05-16,16/05/2020,Amapá,0.5267220683287166,0.5267220683287166
2020-05-17,17/05/2020,Amapá,0.6050964961588908,0.6050964961588908
2020-05-18,18/05/2020,Amapá,0.478914220470701,0.478914220470701
2020-05-19,19/05/2020,Amapá,0.578653337253749,0.578653337253749
2020-05-20,20/05/2020,Amapá,0.5581688517504684,0.5581688517504684
2020-05-21,21/05/2020,Amapá,0.5509844782983616,0.5509844782983616
2020-05-22,22/05/2020,Amapá,0.543274244004171,0.543274244004171
2020-05-23,23/05/2020,Amapá,0.5558622693592912,0.5558622693592912
2020-05-24,24/05/2020,Amapá,0.6072921331542022,0.6072921331542022
2020-05-25,25/05/2020,Amapá,0.5260446685878962,0.5260446685878962
2020-05-26,26/05/2020,Amapá,0.5227076746191436,0.5227076746191436
2020-05-27,27/05/2020,Amapá,0.5184499216412596,0.5184499216412596
2020-05-28,28/05/2020,Amapá,0.5077763766288358,0.5077763766288358
2020-05-29,29/05/2020,Amapá,0.4838597346519484,0.4838597346519484
2020-05-30,30/05/2020,Amapá,0.5045369487695512,0.5045369487695512
2020-05-31,31/05/2020,Amapá,0.5603726392866206,0.5603726392866206
2020-06-01,01/06/2020,Amapá,0.492905047652665,0.492905047652665
2020-06-02,02/06/2020,Amapá,0.4803808726587842,0.4803808726587842
2020-06-03,03/06/2020,Amapá,0.4414772128324959,0.4414772128324959
2020-06-04,04/06/2020,Amapá,0.4318955146932463,0.4318955146932463
2020-06-05,05/06/2020,Amapá,0.4406473520699372,0.4406473520699372
2020-06-06,06/06/2020,Amapá,0.4515910870648538,0.4515910870648538
2020-06-07,07/06/2020,Amapá,0.5270470745739408,0.5270470745739408
2020-06-08,08/06/2020,Amapá,0.4369389982047943,0.4369389982047943
2020-06-09,09/06/2020,Amapá,0.4250594766058684,0.4250594766058684
2020-06-10,10/06/2020,Amapá,0.431909891575143,0.431909891575143
2020-06-11,11/06/2020,Amapá,0.4571952088493774,0.4571952088493774
